"Ministries/Departments","Head of Expenditure","Detailed Head of Expenditure","Actual 2018-2019 Total","Budget 2019-2020 Total","Revised 2019-2020 Total","Budget 2020-2021 Total"
"Ministry of Textiles","Human Resource Development- Handicrafts","Total Human Resource Development- Handicrafts","17","26.15","26.15","26"
"Ministry of Textiles","Infrastructure and Technology Development Scheme","Total Infrastructure and Technology Development Scheme","...","11.71","16.71","42"
"Ministry of Textiles","Development of other crafts in J and K","Total Development of other crafts in J and K","...","0.01","0.01","0.01"
"Ministry of Textiles","Handicraft Cluster Development Program - Handicraft Mega Cluster","Total Handicraft Cluster Development Program - Handicraft Mega Cluster","8.3","30","34.98","35"
"Ministry of Textiles","Other Handicraft schemes","Total Other Handicraft schemes","44.13","41.3","57.28","67.2"
"Ministry of Textiles","Hast Kala Academy","Total Hast Kala Academy","...","2","1","0.5"
"Ministry of Textiles","Integrated Wool Development Programme","Total Integrated Wool Development Programme","3.3","29","29","20"
"Ministry of Textiles","Central Silk Board","Total Central Silk Board","601.29","730","765.45","800"
"Ministry of Textiles","Silk Mega Cluster","Total Silk Mega Cluster","...","10","...","10"
"Ministry of Textiles","Scheme for Development of Jute Sector","Total Scheme for Development of Jute Sector","19","25","55","95"
"Ministry of Textiles","Subsidy to Jute Corporation of India towards market operation","Total Subsidy to Jute Corporation of India towards market operation","7.5","8","28","40"
"Ministry of Textiles","Others (IJIRA, COP JC)","Total Others (IJIRA, COP JC)","1.5","1.55","1.55","1.53"
"Ministry of Textiles","Power Tex India","Total Power Tex India","72.54","129.08","130.36","110"
"Ministry of Textiles","Comprehensive Powerloom Cluster Development Program - Powerloom Mega Cluster","Total Comprehensive Powerloom Cluster Development Program - Powerloom Mega Cluster","14.85","25","17.42","25"
"Ministry of Textiles","Group Insurance Scheme","Total Group Insurance Scheme","5.28","5","5","5"
"Ministry of Textiles","Integrated Processing Development Scheme","Total Integrated Processing Development Scheme","...","3.5","10.8","50"
"Ministry of Textiles","Scheme for Integrated Textile Parks (SITP)","Total Scheme for Integrated Textile Parks (SITP)","20.29","20","40","80"
"Ministry of Textiles","Workers Hostel","Total Workers Hostel","0.06","1","1","5"
"Ministry of Textiles","Assistant to Textile Committee","Total Assistant to Textile Committee","40.4","30","54.5","80"
"Ministry of Textiles","Flatted Factory cum Incubators","Total Flatted Factory cum Incubators","...","4","6.2","8"
"Ministry of Textiles","Remission of State Levies (ROSL)","Total Remission of State Levies (ROSL)","3650.6","...","...","..."
"Ministry of Textiles","Pradhan Mantri Paridhan Rojgar Protsahan Yojna (PMPRPY)","Total Pradhan Mantri Paridhan Rojgar Protsahan Yojna (PMPRPY)","...","0.05","0.05","..."
"Ministry of Textiles","Export Promotion Studies","Total Export Promotion Studies","1.11","1","3.19","34"
"Ministry of Textiles","Textile Labour Rehabilitation Scheme","Total Textile Labour Rehabilitation Scheme","...","1.5","1.15","..."
"Ministry of Textiles","Others (TRAs, COP)","Total Others (TRAs, COP)","9.28","10.2","10.78","11.5"
"Ministry of Textiles","Integrated Scheme for Skill Development","Total Integrated Scheme for Skill Development","18.39","100.5","100.5","150"
"Ministry of Textiles","R and D Textiles","Total R and D Textiles","2.86","0.01","15.01","23"
"Ministry of Textiles","National Institute of Fashion Technology (NIFT)","Total National Institute of Fashion Technology (NIFT)","18.63","29","52","110"
"Ministry of Textiles","Technology Mission  on Cotton","Total Technology Mission  on Cotton","...","0.01","0.01","..."
"Ministry of Textiles","Technology Mission on Knitwear","Total Technology Mission on Knitwear","...","0.01","0.01","..."
"Ministry of Textiles","Technology Mission on Technical Textile","Total Technology Mission on Technical Textile","...","0.01","0.01","0.01"
"Ministry of Textiles","NER Textiles Promotion Scheme","Total NER Textiles Promotion Scheme","65.71","124.98","109.99","125"
"Ministry of Textiles","Scheme for Usage of Geotextiles in North East","Total Scheme for Usage of Geotextiles in North East","...","0.01","10.01","10"
"Ministry of Textiles","Scheme for Promoting Agro Textiles in North East","Total Scheme for Promoting Agro Textiles in North East","...","0.01","6.01","0.6"
"Ministry of Textiles","National Jute Manufacturers Corporation","Total National Jute Manufacturers Corporation","...","0.01","0.01","0.01"
"Ministry of Textiles","Bird Jute Export Corporation","Total Bird Jute Export Corporation","...","0.5","0.5","0.01"
"Ministry of Textiles","British India Corporation Limited","Total British India Corporation Limited","...","0.01","0.01","0.01"
"Ministry of Textiles","Actual Recovery","Total Actual Recovery","-34","...","...","..."
"Ministry of Textiles","Village and Small Industries","Total Village and Small Industries","1195.24","1511.91","1570.35","1671.21"
"Ministry of Textiles","Industries","Total Industries","5416.42","2980.41","2921.97","1483.29"
"Ministry of Textiles","Secretariat-Economic Services","Total Secretariat-Economic Services","26.47","35","35","35"
"Ministry of Textiles","Capital Outlay on Village and Small Industries","Total Capital Outlay on Village and Small Industries","23.34","30.39","30.39","51"
"Ministry of Textiles","Loans for  Consumer Industries","Total Loans for  Consumer Industries","...","0.52","0.52","0.03"
"Ministry of Textiles","North Eastern Areas","Total North Eastern Areas","...","273.25","273.25","274.26"
"Ministry of Textiles","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","...","...","...","..."
"Ministry of Tourism","Secretariat","Total Secretariat","7.8","8.49","7.95","8.5"
"Ministry of Tourism","Director General of Tourism","Total Director General of Tourism","107.31","105.61","117.05","116.12"
"Ministry of Tourism","Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","Total Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","1101.15","1106","566","1200"
"Ministry of Tourism","Pilgrimage Rejuvenation and Spiritual, Heritage Augmentation Drive (PRASHAD)","Total Pilgrimage Rejuvenation and Spiritual, Heritage Augmentation Drive (PRASHAD)","150.3","160.5","145","207.55"
"Ministry of Tourism","Other Support to Tourist Infrastructure","Product/Infrastructure Development for Destination and Circuits","5","5","...","5"
"Ministry of Tourism","Other Support to Tourist Infrastructure","Viability Gap Scheme for Revenue Generating Tourism Projects (erstwhile Assistance for Large Revenue Generating Projects)","...","10","...","30"
"Ministry of Tourism","Other Support to Tourist Infrastructure","Assistance to Central Agencies","74","91","70","80"
"Ministry of Tourism","Other Support to Tourist Infrastructure","Market Research","2.82","5","3.61","9.66"
"Ministry of Tourism","Other Support to Tourist Infrastructure","Incentive to Accommodation Infrastructure","...","0.01","...","..."
"Ministry of Tourism","Other Support to Tourist Infrastructure","Champion Services Sector Scheme","...","1","...","123"
"Ministry of Tourism","Bharat Paryatan Bhawan","Total Bharat Paryatan Bhawan","...","0.01","...","..."
"Ministry of Tourism","Buddhist Circuits","Programme Component","...","0.01","...","..."
"Ministry of Tourism","Overseas Promotion and Publicity including Market Development Assistance","Total Overseas Promotion and Publicity including Market Development Assistance","415","446.2","312.39","450"
"Ministry of Tourism","Domestic Promotion and Publicity including Market Development Assistance","Total Domestic Promotion and Publicity including Market Development Assistance","127.34","129.5","100","140"
"Ministry of Tourism","Assistance to IHMS/FCIs/IITTM/NIWS","Total Assistance to IHMS/FCIs/IITTM/NIWS","82","82.89","61","70"
"Ministry of Tourism","Capacity Building for Service Providers","Total Capacity Building for Service Providers","29.81","38","33","60"
"Ministry of Tourism","Miscellaneous General Services","Total Miscellaneous General Services","0.44","0.7","0.39","0.5"
"Ministry of Tourism","Capital Outlay on Public Works","Total Capital Outlay on Public Works","...","0.01","...","..."
"Ministry of Tourism","Social Security and Welfare","Total Social Security and Welfare","...","0.01","0.01","0.01"
"Ministry of Tourism","Secretariat-Economic Services","Total Secretariat-Economic Services","7.8","8.49","7.95","8.5"
"Ministry of Tourism","Tourism","Total Tourism","2082.38","1972.12","1277.76","2251.82"
"Ministry of Tourism","North Eastern Areas","Total North Eastern Areas","...","207.89","129.89","239"
"Ministry of Tribal Affairs","Secretariat","Total Secretariat","27.2","30.5","31.84","35.21"
"Ministry of Tribal Affairs","National Commission for Scheduled Tribes","Total National Commission for Scheduled Tribes","12.59","16.57","14.66","20.03"
"Ministry of Tribal Affairs","National Fellowship and Scholarship for Higher Education of ST Students","Total National Fellowship and Scholarship for Higher Education of ST Students","99.98","100","100","100"
"Ministry of Tribal Affairs","Scholarship to the ST Students for Studies Abroad","Total Scholarship to the ST Students for Studies Abroad","2","2","2","2"
"Ministry of Tribal Affairs","Support to National/ State Scheduled Tribes Finance and Development Corporation","Total Support to National/ State Scheduled Tribes Finance and Development Corporation","65","80","80","150"
"Ministry of Tribal Affairs","Institutional Support for Development and Marketing of Tribal Products (TRIFED etc.)","Total Institutional Support for Development and Marketing of Tribal Products (TRIFED etc.)","72.5","83","128.5","140"
"Ministry of Tribal Affairs","Aid to Voluntary Organisations Working for the Welfare of Scheduled Tribes","Total Aid to Voluntary Organisations Working for the Welfare of Scheduled Tribes","114","110","110","110"
"Ministry of Tribal Affairs","Eklavya Model Residential School (EMRS)","Total Eklavya Model Residential School (EMRS)","...","0.31","16.22","1313.23"
"Ministry of Tribal Affairs","Tribal Education","Pre-Matric Scholarship","311.5","340","440","400"
"Ministry of Tribal Affairs","Tribal Education","Post-Matric Scholarship","1647.56","1613.5","1826.39","1900"
"Ministry of Tribal Affairs","Vanbandhu Kalyan Yojana","Development of Particularly Vulnerable Tribal Groups (PVTGs)","250","250","250","250"
"Ministry of Tribal Affairs","Vanbandhu Kalyan Yojana","Minimum Support Price for Minor Forest Produce(MSP for MFP)","96.85","130","190","152.51"
"Ministry of Tribal Affairs","Vanbandhu Kalyan Yojana","Tribal Festival, Research, information and Mass Education","23.35","24","24","24"
"Ministry of Tribal Affairs","Vanbandhu Kalyan Yojana","Monitoring and Evaluation","2.42","2.5","4","4"
"Ministry of Tribal Affairs","Vanbandhu Kalyan Yojana","Development Programmes in the Tribal Areas (EAP)","...","0.01","...","0.01"
"Ministry of Tribal Affairs","Vanbandhu Kalyan Yojana","Vanbandhu Kalyan Yojana","...","0.01","...","..."
"Ministry of Tribal Affairs","Special Central Assistance","Special Central Assistance to Tribal Sub-Schemes","1349.82","1350","1350","1350"
"Ministry of Tribal Affairs","Support to Tribal Research Institutes","Tribal Research Institutes","99.99","99.99","109.99","109.99"
"Ministry of Tribal Affairs","Support to Tribal Research Institutes","Tribal Memorial","...","0.01","0.01","0.01"
"Ministry of Tribal Affairs","Actual Recovery","Total Actual Recovery","-0.44","...","...","..."
"Ministry of Tribal Affairs","Grants under proviso to Article 275(1) of the Constitution","Total Grants under proviso to Article 275(1) of the Constitution","1819.82","2662.55","2662.55","1350"
"Ministry of Tribal Affairs","Grant to Assam Government under Clause A of the Second Provision to Article 275(1) of the Constitution","Total Grant to Assam Government under Clause A of the Second Provision to Article 275(1) of the Constitution","...","0.01","...","0.01"
